DATE,MABMM301EZM189S
1970-01-01,318600000000
1970-02-01,320700000000
1970-03-01,322000000000
1970-04-01,324400000000
1970-05-01,327200000000
1970-06-01,331900000000
1970-07-01,336800000000
1970-08-01,338900000000
1970-09-01,341100000000
1970-10-01,344100000000
1970-11-01,347300000000
1970-12-01,346500000000
1971-01-01,351900000000
1971-02-01,355500000000
1971-03-01,359800000000
1971-04-01,365400000000
1971-05-01,370500000000
1971-06-01,373700000000
1971-07-01,378400000000
1971-08-01,381600000000
1971-09-01,386400000000
1971-10-01,390400000000
1971-11-01,394100000000
1971-12-01,398200000000
1972-01-01,403000000000
1972-02-01,407700000000
1972-03-01,412400000000
1972-04-01,416600000000
1972-05-01,421000000000
1972-06-01,431800000000
1972-07-01,437200000000
1972-08-01,442700000000
1972-09-01,448500000000
1972-10-01,452600000000
1972-11-01,458400000000
1972-12-01,462000000000
1973-01-01,465300000000
1973-02-01,470300000000
1973-03-01,477500000000
1973-04-01,482100000000
1973-05-01,489100000000
1973-06-01,494100000000
1973-07-01,497500000000
1973-08-01,503400000000
1973-09-01,507700000000
1973-10-01,513600000000
1973-11-01,518600000000
1973-12-01,524400000000
1974-01-01,530600000000
1974-02-01,536500000000
1974-03-01,540799999999.99994
1974-04-01,547500000000
1974-05-01,552100000000
1974-06-01,556200000000
1974-07-01,562100000000
1974-08-01,566100000000
1974-09-01,570600000000
1974-10-01,575800000000
1974-11-01,582800000000
1974-12-01,589100000000
1975-01-01,595900000000
1975-02-01,601800000000
1975-03-01,605700000000
1975-04-01,609900000000
1975-05-01,615600000000
1975-06-01,623500000000
1975-07-01,632800000000
1975-08-01,640200000000
1975-09-01,648900000000
1975-10-01,658000000000
1975-11-01,664000000000
1975-12-01,674400000000
1976-01-01,681800000000
1976-02-01,688900000000
1976-03-01,697800000000
1976-04-01,706700000000
1976-05-01,712800000000
1976-06-01,724000000000
1976-07-01,730100000000
1976-08-01,738500000000
1976-09-01,746200000000
1976-10-01,754300000000
1976-11-01,761100000000
1976-12-01,765900000000
1977-01-01,774200000000
1977-02-01,782000000000
1977-03-01,791300000000
1977-04-01,799700000000
1977-05-01,808700000000
1977-06-01,815100000000
1977-07-01,827200000000
1977-08-01,835100000000
1977-09-01,844100000000
1977-10-01,850000000000
1977-11-01,857800000000
1977-12-01,868800000000
1978-01-01,878500000000
1978-02-01,886700000000
1978-03-01,896300000000
1978-04-01,904900000000
1978-05-01,915000000000
1978-06-01,926900000000
1978-07-01,937100000000
1978-08-01,949800000000
1978-09-01,961400000000
1978-10-01,972700000000
1978-11-01,984200000000
1978-12-01,988900000000
1979-01-01,998500000000
1979-02-01,1007800000000
1979-03-01,1018100000000
1979-04-01,1026599999999.9999
1979-05-01,1037800000000
1979-06-01,1047800000000
1979-07-01,1055300000000
1979-08-01,1065800000000
1979-09-01,1072200000000
1979-10-01,1082300000000
1979-11-01,1094000000000
1979-12-01,1100500000000
1980-01-01,1107100000000.0
1980-02-01,1107384000000.0
1980-03-01,1119526000000.0
1980-04-01,1121677000000.0
1980-05-01,1127563000000.0
1980-06-01,1142412000000.0
1980-07-01,1148139000000.0
1980-08-01,1147865000000.0
1980-09-01,1155084000000.0
1980-10-01,1159637000000.0
1980-11-01,1186620000000.0
1980-12-01,1230451000000.0
1981-01-01,1219922000000.0
1981-02-01,1226929000000.0
1981-03-01,1235037000000.0
1981-04-01,1242420000000.0
1981-05-01,1258407000000.0
1981-06-01,1268356000000.0
1981-07-01,1269429000000.0
1981-08-01,1268614000000.0
1981-09-01,1282692000000.0
1981-10-01,1286505000000.0
1981-11-01,1304605000000.0
1981-12-01,1356895000000.0
1982-01-01,1355428000000.0
1982-02-01,1360752000000.0
1982-03-01,1366808000000.0
1982-04-01,1371844000000.0
1982-05-01,1384283000000.0
1982-06-01,1404812000000.0
1982-07-01,1411299000000.0
1982-08-01,1415708000000.0
1982-09-01,1428063000000.0
1982-10-01,1436243000000.0
1982-11-01,1450665000000.0
1982-12-01,1511643000000.0
1983-01-01,1505476000000.0
1983-02-01,1507165000000.0
1983-03-01,1504016000000.0
1983-04-01,1513358000000.0
1983-05-01,1524104000000.0
1983-06-01,1538656000000.0
1983-07-01,1552104000000.0
1983-08-01,1547855000000.0
1983-09-01,1553088000000.0
1983-10-01,1567503000000.0
1983-11-01,1584090000000.0
1983-12-01,1647621000000.0
1984-01-01,1633989000000.0
1984-02-01,1630341000000.0
1984-03-01,1630393000000.0
1984-04-01,1643651000000.0
1984-05-01,1653436000000.0
1984-06-01,1667878000000.0
1984-07-01,1680205000000.0
1984-08-01,1676482000000.0
1984-09-01,1703224000000.0
1984-10-01,1702022000000.0
1984-11-01,1713265000000.0
1984-12-01,1788789000000.0
1985-01-01,1775445000000.0
1985-02-01,1781459000000.0
1985-03-01,1789683000000.0
1985-04-01,1795251000000.0
1985-05-01,1793439000000.0
1985-06-01,1817711000000.0
1985-07-01,1821939000000.0
1985-08-01,1813648000000.0
1985-09-01,1830823000000.0
1985-10-01,1832386000000.0
1985-11-01,1844716000000.0
1985-12-01,1927935000000.0
1986-01-01,1903914000000.0
1986-02-01,1899678000000.0
1986-03-01,1917335000000.0
1986-04-01,1913747000000.0
1986-05-01,1919654000000.0
1986-06-01,1941360000000.0
1986-07-01,1948061000000.0
1986-08-01,1949333000000.0
1986-09-01,1964933000000.0
1986-10-01,1973445000000.0
1986-11-01,1999949000000.0
1986-12-01,2058938999999.9998
